state,alpha,ndi,s1_pass,s2_pass,prediction
Deep Anesthesia,0.3606139128994323,0.12519315628672378,False,False,Unconscious
Deep Anesthesia,0.36199822646856966,0.07937019928575138,False,False,Unconscious
Deep Anesthesia,0.2837716819450797,-0.10815726495177348,False,False,Unconscious
Deep Anesthesia,0.2676968755935026,-0.047459727625295337,False,False,Unconscious
Deep Anesthesia,0.3885471358748907,0.005929135005413071,False,False,Unconscious
Deep Anesthesia,0.2861602403392243,0.0641188300832374,False,False,Unconscious
REM,0.6521801223186227,0.48560408323446025,True,True,Normal Conscious
REM,0.6188675319132775,0.3655685964189794,True,True,Normal Conscious
REM,0.6128764707150977,0.2443981991023435,True,True,Normal Conscious
REM,0.6194115454547358,0.347037056236127,True,True,Normal Conscious
REM,0.628534888774137,0.2946063216100915,True,True,Normal Conscious
REM,0.5796841268164084,0.3433515541897044,True,True,Normal Conscious
REM,0.57476398129845,0.4108044770951682,True,True,Normal Conscious
REM,0.6541219876467251,0.23339588004280554,True,True,Normal Conscious
REM,0.6345395461475068,0.28982748755275334,True,True,Normal Conscious
REM,0.665958725520959,0.45723603568185156,True,True,Normal Conscious
REM,0.5562413765177128,0.35920208633179335,True,True,Normal Conscious
REM,0.641993360221668,0.4037072061160372,True,True,Normal Conscious
REM,0.6606598314118844,0.28984245346089443,True,True,Normal Conscious
REM,0.6340473032166691,0.2863179314557208,True,True,Normal Conscious
REM,0.7038003569299299,0.35170493189375535,True,True,Normal Conscious
REM,0.7450595342876504,0.34514713489483034,True,True,Normal Conscious
REM,0.6145796616544769,0.22890284859097382,True,True,Normal Conscious
REM,0.5598430161872028,0.2232691245595608,True,True,Normal Conscious
REM,0.6633563325505742,0.3906980018583947,True,True,Normal Conscious
REM,0.5709404648983933,0.42160306512608925,True,True,Normal Conscious
REM,0.625846947415828,0.3617434409588439,True,True,Normal Conscious
REM,0.7306110314127713,0.4217471452692425,True,True,Normal Conscious
REM,0.6365734676047085,0.278704621966777,True,True,Normal Conscious
REM,0.5424092299335348,0.29246773446060637,True,True,Normal Conscious
REM,0.6394434880586153,0.27102563782790523,True,True,Normal Conscious
NREM,0.34343715164538474,0.05614815063670146,False,False,Unconscious
NREM,0.33875720090959605,-0.002000206465876779,False,False,Unconscious
NREM,0.3584327335983364,0.08535525196555273,False,False,Unconscious
NREM,0.29548004612785767,0.1628745903797016,False,True,Ambiguous
NREM,0.3450705933857869,0.051507969835587815,False,False,Unconscious
NREM,0.3854107211628278,0.06865729050108013,False,False,Unconscious
NREM,0.39765683169566224,0.07296993321614594,False,False,Unconscious
NREM,0.3193781312679781,0.07892028201648814,False,False,Unconscious
NREM,0.29281368963396687,0.058684776462121856,False,False,Unconscious
NREM,0.3483385004677769,0.033350651418196826,False,False,Unconscious
NREM,0.34357312442805343,-0.10054792363981112,False,False,Unconscious
NREM,0.3225637546129519,0.05742759209128918,False,False,Unconscious
NREM,0.35799281959987,-0.03221401127407665,False,False,Unconscious
NREM,0.413285392043235,-0.019293987857160064,False,False,Unconscious
NREM,0.3984728600263368,0.0841755489497348,False,False,Unconscious
NREM,0.3176886345078098,0.19202487140876096,False,True,Ambiguous
NREM,0.29031815841217595,0.12353233388880012,False,False,Unconscious
NREM,0.4000291159021489,-0.0036496167261315868,False,False,Unconscious
NREM,0.41962326500321645,0.02999627883208378,False,False,Unconscious
NREM,0.3644346814639928,0.07082574710169766,False,False,Unconscious
NREM,0.3432845629264726,0.11486466185278257,False,False,Unconscious
NREM,0.38967443602761065,-0.08988255785905445,False,False,Unconscious
NREM,0.4152170121439076,-0.08299935904285395,False,False,Unconscious
NREM,0.40162731021708287,0.14013641094620666,False,False,Unconscious
NREM,0.29545167848924003,0.01713485696363322,False,False,Unconscious
Psy Baseline,0.6647147665757032,0.4328063175769012,True,True,Normal Conscious
Psy Baseline,0.7045982857907129,0.5123728425815472,True,True,Normal Conscious
Psy Baseline,0.7855154373059804,0.5616547048631965,True,True,Normal Conscious
Psy Baseline,0.6918915986710849,0.4332622501004378,True,True,Normal Conscious
Psy Baseline,0.6358280903889525,0.3855303946803049,True,True,Normal Conscious
Psy Baseline,0.7682425816548728,0.5792466258838586,True,True,Normal Conscious
Psy Baseline,0.6582825564060039,0.40260285926776845,True,True,Normal Conscious
Psy Baseline,0.7186797121520536,0.4724128927055686,True,True,Normal Conscious
Psy Baseline,0.6795198240039176,0.4839248835571272,True,True,Normal Conscious
Psy Baseline,0.6963080326464541,0.4488438183297377,True,True,Normal Conscious
Psy Baseline,0.7473142124001849,0.45051378158487504,True,True,Normal Conscious
Psy Baseline,0.6981807054736715,0.44123121568593354,True,True,Normal Conscious
Psy Baseline,0.7155818520397332,0.4203991176094298,True,True,Normal Conscious
Psy Baseline,0.7070601968666449,0.5778917736403774,True,True,Normal Conscious
Psy Baseline,0.7480459723970619,0.4263615745576672,True,True,Normal Conscious
Psy Baseline,0.7548477202255368,0.4232944408195192,True,True,Normal Conscious
Psy Baseline,0.7786562318793321,0.47957137537584754,True,True,Normal Conscious
Psy Baseline,0.7146348927997885,0.48581735406482224,True,True,Normal Conscious
Psy Baseline,0.641456192396575,0.3598586024872156,True,True,Normal Conscious
Psy Baseline,0.6603037496800472,0.46143544758109656,True,True,Normal Conscious
Psy Baseline,0.8066257499742546,0.6285040116954106,True,True,Normal Conscious
Psy Baseline,0.7519025550720378,0.49006755799555657,True,True,Normal Conscious
Psy Baseline,0.6299471132923631,0.40658609602127826,True,True,Normal Conscious
Psy Baseline,0.680610812404588,0.4003321921399107,True,True,Normal Conscious
Psy Baseline,0.7115928090707605,0.4122327537842298,True,True,Normal Conscious
Psy Peak,0.7210350094812106,-0.09016717951059729,True,False,Altered Conscious
Psy Peak,0.7663628487130096,-0.13086025087110803,True,False,Altered Conscious
Psy Peak,0.9237041334874987,-0.22355076732691387,True,False,Altered Conscious
Psy Peak,0.6934856238626834,-0.17288033775040887,True,False,Altered Conscious
Psy Peak,0.8750479817499285,0.006667796337647525,True,False,Altered Conscious
Psy Peak,0.7585225202773791,-0.11026406214107826,True,False,Altered Conscious
Psy Peak,0.7967344771609973,-0.15847586834433086,True,False,Altered Conscious
Psy Peak,0.9522171673508517,-0.27023762627161224,True,False,Altered Conscious
Psy Peak,0.8326869830747287,-0.11258454625876534,True,False,Altered Conscious
Psy Peak,0.8742893162469673,-0.14216134772232836,True,False,Altered Conscious
Psy Peak,0.8354025269752051,-0.1813318853937433,True,False,Altered Conscious
Psy Peak,0.8334563470622554,-0.17745538203979283,True,False,Altered Conscious
Psy Peak,0.8510785944928025,-0.1795688268834907,True,False,Altered Conscious
Psy Peak,0.8388550196951092,-0.15234102509479827,True,False,Altered Conscious
Psy Peak,0.8763025125386084,-0.1541114978870789,True,False,Altered Conscious
Psy Peak,0.7313483765896559,-0.04904627994288066,True,False,Altered Conscious
Psy Peak,0.774713384956869,-0.20230130709190558,True,False,Altered Conscious
Psy Peak,0.7902169352978253,-0.04004495254633461,True,False,Altered Conscious
Psy Peak,0.7132162893010652,0.10101988269279952,True,False,Altered Conscious
Psy Peak,0.8728028404533026,-0.1321408868696672,True,False,Altered Conscious
Psy Peak,0.8172552999691857,-0.12715567401138744,True,False,Altered Conscious
Psy Peak,0.8460561214189669,-0.09838275312399544,True,False,Altered Conscious
Psy Peak,0.8477802233001723,-0.14283354549958008,True,False,Altered Conscious
Psy Peak,0.8101330789846336,-0.16210186269228094,True,False,Altered Conscious
Psy Peak,0.8102545859823659,-0.059298392250634824,True,False,Altered Conscious
Ketamine,0.629677836114043,-0.2852310907731424,True,False,Altered Conscious
Ketamine,0.632795038826488,-0.03442110442249802,True,False,Altered Conscious
Ketamine,0.5990645621777051,-0.08108147624711087,True,False,Altered Conscious
Ketamine,0.6562056359993007,0.02580211696982862,True,False,Altered Conscious
Ketamine,0.5613561166088196,-0.017435817030037194,True,False,Altered Conscious
Ketamine,0.5514171632729357,-0.16036945318311446,True,False,Altered Conscious
Ketamine,0.5686641387705017,0.0189914777906207,True,False,Altered Conscious
Ketamine,0.6476562522688043,-0.008953166392216563,True,False,Altered Conscious
Ketamine,0.6362547893423999,-0.00870573703080333,True,False,Altered Conscious
Ketamine,0.5679259202388524,-0.015446196426084753,True,False,Altered Conscious
Ketamine,0.6400204762613841,0.010343306385085939,True,False,Altered Conscious
Ketamine,0.6594456685737321,0.0066643077760851,True,False,Altered Conscious
Ketamine,0.6175724103770791,0.03561201906531419,True,False,Altered Conscious
Ketamine,0.598673937037547,-0.12054997209821743,True,False,Altered Conscious
Ketamine,0.5918466518028118,-0.10959221158451593,True,False,Altered Conscious
Ketamine,0.5662410862512809,-0.06156149365724143,True,False,Altered Conscious
Ketamine,0.560379003950002,-0.07463692237112322,True,False,Altered Conscious
Ketamine,0.5053192666523108,-0.03293650341016492,True,False,Altered Conscious
Ketamine,0.6000602737681112,-0.11536709048545525,True,False,Altered Conscious
Ketamine,0.6329622834216202,0.025005611010124676,True,False,Altered Conscious
Ketamine,0.5196220067815512,-0.11101798228529713,True,False,Altered Conscious
Ketamine,0.5615428825106351,-0.12519224808870916,True,False,Altered Conscious
Ketamine,0.6414737420965874,-0.06550609110182429,True,False,Altered Conscious
Ketamine,0.5867742579344695,-0.21030898915254026,True,False,Altered Conscious
Ketamine,0.6317709015104613,-0.14914067158827782,True,False,Altered Conscious
