stage,beta,alpha_rtm,subject
Wake,1.4346965483721008,1.394023009443585,SYN073
Wake,0.8070382343865383,2.4781973328937497,SYN074
Wake,1.3232853756562835,1.5113897854482823,SYN075
Wake,1.2130570602357256,1.6487270595592205,SYN076
Wake,1.1551488974301198,1.7313785300314404,SYN077
Wake,1.2137641164803252,1.6477666235508779,SYN078
Wake,0.9018646628098661,2.217627635801544,SYN079
Wake,1.1670492168243731,1.7137237840252764,SYN080
Wake,1.253566885726762,1.5954473772179214,SYN081
Wake,1.4216841067112274,1.4067822736139233,SYN082
Wake,1.1222594672589528,1.7821190717017275,SYN083
Wake,1.078725959566022,1.8540390006045764,SYN084
Wake,1.1247364434623195,1.7781943597766985,SYN085
Wake,1.3373103176553112,1.4955391980423616,SYN086
Wake,1.2493126664489527,1.600880270977162,SYN087
Wake,1.1205359694349442,1.7848601513510947,SYN088
Wake,1.2769901149670033,1.566182836154279,SYN089
Wake,1.214561632402206,1.646684652835875,SYN090
Wake,1.3452967485799334,1.486660844242103,SYN091
Wake,1.0946920359183971,1.826997853621992,SYN092
Wake,1.1508506780103347,1.7378449161256349,SYN093
Wake,1.1411837770301763,1.7525660986916693,SYN094
Wake,0.9804727577801822,2.0398322993981557,SYN095
Wake,1.2444180415596864,1.6071769559796063,SYN096
Wake,1.2391582908269834,1.6139988045153213,SYN097
Wake,1.200767018496369,1.6656020436874182,SYN098
Wake,1.1648119299937278,1.7170153811961468,SYN099
N1,1.516925851589917,1.3184560062073991,SYN000
N1,1.7158709354469281,1.1655888322853756,SYN001
N1,1.731457096694646,1.155096481349727,SYN002
N1,1.6395445461556761,1.2198509669587827,SYN003
N1,1.7677428576667982,1.1313862711003977,SYN004
N1,1.8808101713629077,1.0633715355498756,SYN005
N1,2.177237180242106,0.918595373140561,SYN006
N1,1.8349155625663678,1.0899684109729497,SYN007
N1,1.8515100781445528,1.0801993592193961,SYN008
N1,1.7851108168467666,1.120378623626748,SYN009
N1,1.4162457569401918,1.4121842838357468,SYN010
N1,1.7946972249101567,1.1143941007097289,SYN011
N1,1.8120460419882054,1.1037247143044824,SYN012
N1,2.292648422497057,0.872353554245218,SYN013
N1,1.7615278070437754,1.1353780462633924,SYN014
N1,1.8603094684667225,1.0750899427762475,SYN015
N1,1.7930576460589513,1.1154131069884436,SYN016
N1,1.5662643924760937,1.2769236213294854,SYN017
N1,2.028564562903004,0.9859188297846797,SYN018
N1,1.950386606537355,1.0254377226014317,SYN019
N1,1.9582063894086095,1.0213428016665866,SYN020
N1,1.6181225090410523,1.2360003577141139,SYN021
N1,2.0805588621872197,0.9612801811804877,SYN022
N1,1.5196297874415439,1.316110026618529,SYN023
N1,1.9173714187600541,1.0430947183375567,SYN024
N1,2.2380911251619957,0.8936186634738733,SYN025
N1,1.6018927349738623,1.2485230479758893,SYN026
N1,1.6867404540794457,1.1857188787776591,SYN027
N1,1.8199302730175282,1.098943201095231,SYN028
N1,1.6993048691767603,1.1769518444144242,SYN029
N1,1.4898673137867735,1.3424014215847382,SYN030
N1,1.8137125949612054,1.1027105427598243,SYN031
N1,1.587539257254779,1.2598113658357404,SYN032
N1,1.8947184861270363,1.0555657817474342,SYN033
N1,1.6161151531532394,1.2375355778935393,SYN034
N1,2.109986881003508,0.9478731920118867,SYN035
N1,1.6433493415327527,1.2170266841343662,SYN036
N1,1.735587696758865,1.15234741738197,SYN037
N1,1.9627034434739339,1.0190026448723462,SYN038
N1,1.553827136713209,1.2871444659092355,SYN039
N1,1.845491986920826,1.0837218552961414,SYN040
N1,2.0614285508564856,0.9702009798831188,SYN041
N1,1.4785033530877545,1.3527192859070187,SYN042
N1,1.8369267717064608,1.0887750294705805,SYN043
N1,1.8519765588496848,1.0799272757762424,SYN044
N1,1.956364574355462,1.022304342562998,SYN045
N1,1.5526098578243837,1.2881536143294414,SYN046
N1,1.5359086773831447,1.3021607530778239,SYN047
N1,1.9043883131233796,1.0502059827912975,SYN048
N1,1.8593969346466372,1.0756175632719773,SYN049
N2,2.2626232125864694,0.8839297629735455,SYN000
N2,2.286612052374244,0.8746564586342279,SYN001
N2,2.0299938196053775,0.9852246744223053,SYN002
N2,2.258063424290251,0.8857147139826842,SYN003
N2,2.2732681183246704,0.8797906344078495,SYN004
N2,2.021412145493408,0.9894073331155425,SYN005
N2,2.6664436277861894,0.7500627349322576,SYN006
N2,2.318458230227947,0.862642239538369,SYN007
N2,1.902174125699338,1.0514284538828411,SYN008
N2,2.3641384021584577,0.8459741604696241,SYN009
N2,1.95632958244317,1.022322628021753,SYN010
N2,2.396771150935613,0.8344559718266269,SYN011
N2,2.489648894751851,0.803326125308663,SYN012
N2,1.9948294204120725,1.0025919908414322,SYN013
N2,2.4408440323110807,0.8193886924050311,SYN014
N2,2.303195231734125,0.8683588661713915,SYN015
N2,2.4055150399986225,0.8314227792153589,SYN016
N2,2.674198245663487,0.7478877092389186,SYN017
N2,2.1386529709992828,0.9351680834247281,SYN018
N2,2.011565958910628,0.9942502711087379,SYN019
N2,1.9776213925936195,1.0113159209797136,SYN020
N2,1.9960474287586405,1.0019801990596073,SYN021
N2,2.1807245726464743,0.9171263648269201,SYN022
N2,2.285287993704161,0.8751632203511709,SYN023
N2,2.269172699832505,0.8813784865945313,SYN024
N2,2.406795812259006,0.8309803390104832,SYN025
N2,2.203250472969477,0.9077497200327197,SYN026
N2,2.5633835192893293,0.7802187947882565,SYN027
N2,2.1338357916905113,0.9372792450985737,SYN028
N2,2.880042291647405,0.6944342469554451,SYN029
N2,2.3564168369412517,0.8487462696099648,SYN030
N2,1.9857106108959295,1.0071961085495853,SYN031
N2,1.9322768754847222,1.0350483542884035,SYN032
N2,2.3206181038107965,0.8618393507814602,SYN033
N2,2.1441343036685376,0.9327773901933619,SYN034
N2,2.378500123523023,0.8408660484060053,SYN035
N2,2.318309406143386,0.8626976169359083,SYN036
N2,2.181792771835782,0.9166773425127722,SYN037
N2,1.988301570482899,1.005883629370297,SYN038
N2,1.8212881938285341,1.0981238481515632,SYN039
N2,2.088371261983245,0.9576841227458177,SYN040
N2,2.414099698580868,0.8284661984654995,SYN041
N2,2.2535234360325513,0.8874990905446748,SYN042
N2,1.888565305322003,1.0590049464341913,SYN043
N2,2.243295231462796,0.8915456030706448,SYN044
N2,2.2963293449322095,0.8709552070193322,SYN045
N2,1.979035640949717,1.0105932195542584,SYN046
N2,2.238431276486382,0.8934828694581848,SYN047
N2,2.2145521796115,0.9031171260777702,SYN048
N2,1.9142574255423443,1.0447915590210461,SYN049
N2,2.289446840087071,0.873573461056618,SYN050
N2,2.3401961315920587,0.8546292223119692,SYN051
N2,2.4707628107938193,0.8094666113893101,SYN052
N2,2.463450513008726,0.8118693634958827,SYN053
N2,1.8555826580107273,1.0778285684907698,SYN054
N2,1.9655437400212195,1.017530141546689,SYN055
N2,2.328758816802165,0.8588265927625711,SYN056
N2,2.328446487728052,0.8589417925388833,SYN057
N2,2.328761921576512,0.8588254477495283,SYN058
N2,3.1631828726636804,0.6322745413438025,SYN059
N2,2.3427226276732918,0.8537075522194142,SYN060
N2,2.4838914100451497,0.8051881784814603,SYN061
N2,2.438500440873301,0.8201761896273184,SYN062
N2,2.3628478128264496,0.8464362322208093,SYN063
N2,2.1211826888399137,0.9428702254277829,SYN064
N2,2.389742305123317,0.8369103211305433,SYN065
N2,2.006793696365607,0.9966146513326652,SYN066
N2,2.140795348314998,0.9342322242871945,SYN067
N2,2.078659113042724,0.9621587240788204,SYN068
N2,2.2204685348465807,0.900710804324992,SYN069
N2,2.778664641668377,0.7197701982485918,SYN070
N2,1.733183701852063,1.153945769200818,SYN071
N2,2.3715650475936285,0.8433249604641261,SYN072
N2,1.7968210322025873,1.1130769086937673,SYN073
N2,2.082017033552642,0.9606069344146082,SYN074
N2,2.472237649241842,0.8089837158710602,SYN075
N2,2.216070004773866,0.9024985653393588,SYN076
N2,1.9305638055176737,1.0359667959607828,SYN077
N2,2.021174072685008,0.9895238747759714,SYN078
N2,2.369899437233669,0.8439176652721415,SYN079
N2,2.017408342070716,0.9913709377979237,SYN080
N2,2.254114647395494,0.8872663164275564,SYN081
N2,2.2113929599759534,0.904407328863771,SYN082
N2,2.037099913098546,0.9817878775311933,SYN083
N2,2.7359860223313315,0.730997886566614,SYN084
N2,2.358479755579503,0.8480038869396949,SYN085
N2,1.6937143533355985,1.1808366600077533,SYN086
N2,2.246613578692357,0.890228750938157,SYN087
N2,2.034553383807903,0.9830167229413109,SYN088
N2,2.413108333699056,0.8288065529715353,SYN089
N2,2.001869815391825,0.9990659655400924,SYN090
N2,2.1713158896332754,0.9211004301809766,SYN091
N2,2.3262468197451143,0.8597539964478658,SYN092
N2,2.4164387985425306,0.8276642475722105,SYN093
N2,1.899925898236056,1.0526726341573929,SYN094
N2,2.116374691039763,0.9450122459257964,SYN095
N2,2.081263672209761,0.9609546482289386,SYN096
N2,2.036667691856572,0.9819962323735067,SYN097
N2,2.6413635600702743,0.7571846716726831,SYN098
N2,2.301245427740239,0.8690946110706437,SYN099
N2,1.8847790114162388,1.0611323597545705,SYN100
N2,2.4294654867636942,0.8232263478927673,SYN101
N2,2.7305390492531583,0.7324561062574911,SYN102
N2,2.458116315137787,0.8136311482428333,SYN103
N2,1.820157508511497,1.0988060047811885,SYN104
N2,2.0789414817834375,0.9620280404835075,SYN105
N2,2.516727787296656,0.7946826868186252,SYN106
N2,2.023082633595305,0.9885903654096996,SYN107
N2,2.3109548570365575,0.8654431279391979,SYN108
N2,2.3936585133573343,0.8355410718945073,SYN109
N2,1.9682673821054795,1.016122107282282,SYN110
N2,2.1851186609845503,0.9152821014758341,SYN111
N2,1.3896831649827321,1.4391769652220343,SYN112
N2,1.9439030896664278,1.0288578739504954,SYN113
N2,2.1368579621517103,0.9359536456911244,SYN114
N2,1.8880542045087878,1.0592916216196966,SYN115
N2,2.608102825982909,0.7668409312988897,SYN116
N2,1.842464655509842,1.0855025055808005,SYN117
N2,2.0899888783257543,0.9569428912952673,SYN118
N2,2.232685144321523,0.8957823744591482,SYN119
N2,2.560318322266529,0.7811528678314867,SYN120
N2,1.8410344622051404,1.0863457697605807,SYN121
N2,2.49079093803874,0.80295779523544,SYN122
N2,2.202558265254897,0.9080350025467065,SYN123
N2,1.9546228372380123,1.0232153036880036,SYN124
N2,2.315525868565818,0.8637346821086274,SYN125
N2,2.249764923893368,0.8889817681657455,SYN126
N2,2.0499457807103014,0.9756355601302804,SYN127
N2,2.217450521247505,0.9019366974983637,SYN128
N2,2.10367160078456,0.9507187335010389,SYN129
N2,2.228379336312812,0.8975132588104591,SYN130
N2,2.365532668630262,0.8454755356044523,SYN131
N2,2.5965042040363384,0.770266420863461,SYN132
N2,1.8905461252932878,1.0578953738511576,SYN133
N2,2.7332583436640667,0.7317273921933417,SYN134
N2,1.7119780501193747,1.1682392772854429,SYN135
N2,2.1620537262411044,0.9250463925691398,SYN136
N2,2.3470793016211444,0.8521228910410422,SYN137
N2,2.2702479669337583,0.8809610355917373,SYN138
N2,2.0443251200448516,0.9783179692847099,SYN139
N2,2.1479694374106812,0.9311119446890015,SYN140
N2,2.076749766335292,0.9630433249207836,SYN141
N2,2.052658810763947,0.9743460479219394,SYN142
N2,2.4124005242552564,0.8290497286380044,SYN143
N2,2.289253871491262,0.8736470973825037,SYN144
N2,2.026772601184837,0.9867905254051759,SYN145
N2,2.424899968858313,0.8247762900263619,SYN146
N2,2.2768248802191526,0.8784162617756939,SYN147
N2,2.4032155297097404,0.8322183238561043,SYN148
N2,2.357407210480903,0.8483897016638066,SYN149
N3,2.7098517461772746,0.7380477558675872,SYN000
N3,2.8039366359310605,0.7132828803514992,SYN001
N3,3.2615527617931415,0.613204858565721,SYN002
N3,3.2136295929017127,0.6223492602935988,SYN003
N3,2.992684442112548,0.6682963201386485,SYN004
N3,3.041064584158074,0.6576644279173389,SYN005
N3,3.4471827135259487,0.5801839258918484,SYN006
N3,2.7929500139074595,0.7160887198270736,SYN007
N3,3.191484083409513,0.6266677030904595,SYN008
N3,2.929232571648137,0.6827726891192859,SYN009
N3,2.923811578870473,0.684038607156977,SYN010
N3,3.3845718981955164,0.59091668316052,SYN011
N3,3.2888957221458104,0.6081068446570018,SYN012
N3,3.2847283726002234,0.6088783525247112,SYN013
N3,3.456917582504015,0.578550096225118,SYN014
N3,3.0073513445714655,0.6650370278850778,SYN015
N3,3.238683539953237,0.6175348641901819,SYN016
N3,2.8914066351922902,0.691704852460848,SYN017
N3,3.1134582233709547,0.6423725184385456,SYN018
N3,2.9544499309713106,0.6769449632685013,SYN019
N3,3.0339485877474512,0.6592069516526962,SYN020
N3,3.20830495890292,0.6233821365547183,SYN021
N3,2.713622760868285,0.7370221199648455,SYN022
N3,3.732335546489911,0.5358575013119888,SYN023
N3,2.6478939164751045,0.7553172683981292,SYN024
N3,2.5750339855242936,0.7766887781843341,SYN025
N3,3.4053388057250236,0.587313073412143,SYN026
N3,3.2770819428870275,0.6102990510631082,SYN027
N3,3.2184419359682543,0.6214186987960398,SYN028
N3,3.219920928242498,0.6211332652481136,SYN029
N3,2.9957136295035798,0.66762055635185,SYN030
N3,2.685960969979959,0.7446124580190466,SYN031
N3,3.0265315953678043,0.6608224421185819,SYN032
N3,2.762993400970761,0.7238526155354957,SYN033
N3,3.341291906696213,0.5985708689479785,SYN034
N3,2.9485299164742513,0.6783041232939329,SYN035
N3,2.711075981122621,0.7377144771766324,SYN036
N3,2.887514955421452,0.6926371052191093,SYN037
N3,3.1445260089964684,0.6360259047875619,SYN038
N3,2.802696406518609,0.7135985172522897,SYN039
N3,2.712222861551749,0.7374025299881648,SYN040
N3,3.0852905240221693,0.6482371706741835,SYN041
N3,3.085738299888053,0.648143104057968,SYN042
N3,2.8225698886201047,0.708574128868695,SYN043
N3,2.835136593033587,0.7054333836734147,SYN044
N3,3.081217478075173,0.6490940721423513,SYN045
N3,2.4931704804759365,0.802191432820995,SYN046
N3,2.5073876789682057,0.7976429081054603,SYN047
N3,2.748544522561647,0.7276578507580431,SYN048
N3,2.9252934969008533,0.6836920815360449,SYN049
N3,3.1088176479593015,0.6433313968456289,SYN050
N3,3.5163746759323433,0.5687676042285549,SYN051
N3,3.300180868120707,0.6060273905953837,SYN052
N3,2.9440215145128006,0.6793428615045212,SYN053
N3,2.993344327234059,0.6681489936869577,SYN054
N3,2.649114722376767,0.7549691914458179,SYN055
N3,2.9935204024026634,0.6681096939893102,SYN056
N3,2.8989694763779514,0.6899003305474097,SYN057
N3,3.112951496118331,0.6424770840451203,SYN058
N3,2.710469169756687,0.7378796343879962,SYN059
N3,3.1817712799844102,0.62858069421313,SYN060
N3,3.5364586195509022,0.5655375094574079,SYN061
N3,2.9619339480401,0.6752345039035702,SYN062
N3,3.1405991027346296,0.6368211715588055,SYN063
N3,3.2415503970988895,0.6169887106459775,SYN064
N3,2.859572834839957,0.6994051613698221,SYN065
N3,3.0784323686336457,0.6496813184457565,SYN066
N3,3.004407340273628,0.6656886944690559,SYN067
N3,3.034186634492091,0.6591552336512058,SYN068
N3,2.7294465756505866,0.7327492751981354,SYN069
N3,3.00857856099063,0.6647657554740612,SYN070
N3,3.174299401935907,0.6300602894548201,SYN071
N3,3.5079002627282647,0.5701416375061082,SYN072
N3,3.3357447891298224,0.5995662517460543,SYN073
N3,3.7536138601290445,0.5328198569501346,SYN074
N3,2.7314283529891825,0.7322176317790902,SYN075
N3,3.3053122228522374,0.6050865591977721,SYN076
N3,3.064169702008423,0.6527053637692102,SYN077
N3,3.766431026626185,0.5310066707345278,SYN078
N3,2.717095600125697,0.7360800996135274,SYN079
N3,2.7060973552367282,0.7390717100882133,SYN080
N3,2.7902125740945922,0.7167912647834684,SYN081
N3,2.2566364964915677,0.8862747735886728,SYN082
N3,2.815985742411734,0.7102308686716262,SYN083
N3,2.734303568456206,0.7314476794283689,SYN084
N3,3.0526378252666726,0.6551710731767807,SYN085
N3,3.119614591522006,0.6411048356535076,SYN086
N3,3.6566597937255603,0.5469472449779954,SYN087
N3,3.3326483433651175,0.6001233235368946,SYN088
N3,2.798083720518159,0.7147748958811114,SYN089
N3,2.6855548650280747,0.7447250570243301,SYN090
N3,3.172171710027277,0.6304828939990774,SYN091
N3,2.537918377542775,0.7880474083395895,SYN092
N3,3.641010568049024,0.5492980486106271,SYN093
N3,3.4128040422524504,0.5860283729270316,SYN094
N3,2.8357885217633534,0.7052712092777488,SYN095
N3,2.400402914818193,0.8331934558375924,SYN096
N3,3.4738553309578943,0.575729214218173,SYN097
N3,2.9599110541615836,0.6756959798464331,SYN098
N3,3.4332357091907117,0.5825408359367914,SYN099
REM,1.2492259150652394,1.6009914426851706,SYN000
REM,1.46813749495017,1.362270228012862,SYN001
REM,1.6011536139380005,1.249099388459703,SYN002
REM,1.6103357306282433,1.2419770374341357,SYN003
REM,1.5009855962745664,1.3324578230224082,SYN004
REM,1.73702698511645,1.1513925904069477,SYN005
REM,1.3651235055358293,1.465068905406455,SYN006
REM,1.5686765132953155,1.2749601227844,SYN007
REM,1.6264650389766178,1.2296606149360658,SYN008
REM,1.713176543492925,1.1674220077297361,SYN009
REM,1.756555273179556,1.1385921243342276,SYN010
REM,1.3525787397956688,1.4786569839935055,SYN011
REM,1.2624948824381632,1.584164837276447,SYN012
REM,1.881088900817672,1.0632139709774693,SYN013
REM,1.6731090826355102,1.1953793215021973,SYN014
REM,1.4353329619575583,1.3934049123154872,SYN015
REM,1.9412534346149553,1.0302621823289637,SYN016
REM,1.625448419544429,1.2304296930938898,SYN017
REM,1.8594453804940418,1.075589539214437,SYN018
REM,1.614854065910224,1.2385020059832377,SYN019
REM,2.053364543474037,0.9740111693056943,SYN020
REM,1.986174985337505,1.0069606226865986,SYN021
REM,1.545227887334604,1.294307471663511,SYN022
REM,1.8137456092099582,1.1026904709482228,SYN023
REM,1.7419827089087325,1.1481170219266428,SYN024
REM,1.9010989426571168,1.0520230983899512,SYN025
REM,1.387716838672377,1.4412162079934057,SYN026
REM,1.7509313211996567,1.142249256601163,SYN027
REM,1.8328533871069095,1.091194753529591,SYN028
REM,1.213077312986915,1.6486995334827215,SYN029
REM,1.3396831272135294,1.4928903405388818,SYN030
REM,1.151368920892778,1.737062694422209,SYN031
REM,1.5407304964221973,1.2980855539916254,SYN032
REM,1.7578592962751118,1.1377474887995769,SYN033
REM,1.9305185514611263,1.0359910804722836,SYN034
REM,1.6163008516923507,1.2373933961031427,SYN035
REM,1.9582954200256844,1.021296368028971,SYN036
REM,1.296377679192724,1.542760286682376,SYN037
REM,1.225255863341866,1.632312123400113,SYN038
REM,1.587779506242744,1.2596207421348558,SYN039
REM,1.6844943987666476,1.1872998814744407,SYN040
REM,1.5928071554192995,1.255644786121964,SYN041
REM,1.1451627379912273,1.7464766654111317,SYN042
REM,1.5803935913071867,1.2655075362244068,SYN043
REM,1.3130167098889323,1.5232098608776878,SYN044
REM,1.7473279607426084,1.1446048165737626,SYN045
REM,1.6806516141413068,1.1900146247869803,SYN046
REM,1.393226447007982,1.4355168208980615,SYN047
REM,1.4869492781859275,1.3450357919672906,SYN048
REM,1.3669730251844308,1.463086661662663,SYN049
REM,1.5862105985999022,1.260866622480859,SYN050
REM,1.8101313105102725,1.104892218806051,SYN051
REM,1.3831402698061805,1.4459849399658213,SYN052
REM,1.7108902334139258,1.168982066142947,SYN053
REM,1.4833433239580631,1.3483055255632401,SYN054
REM,1.4255679769022844,1.4029495838886188,SYN055
REM,1.5764533208099973,1.268670612443114,SYN056
REM,1.3722466890677378,1.4574638918303664,SYN057
REM,1.47819715282362,1.3529994941335421,SYN058
REM,1.3364668636304535,1.496483043782386,SYN059
REM,2.032239529241606,0.9841359599704091,SYN060
REM,1.6077579814337803,1.2439683230285834,SYN061
REM,1.4460603882416312,1.3830681043908157,SYN062
REM,1.647075580361529,1.2142733605224145,SYN063
REM,1.5752878290680175,1.2696092505096377,SYN064
REM,1.551386688102691,1.289169241516409,SYN065
REM,1.7351166740095536,1.1526602389096676,SYN066
REM,1.7666516962104073,1.1320850648094025,SYN067
REM,1.483289747525684,1.3483542263649124,SYN068
REM,1.4733199870581706,1.3574783601446077,SYN069
REM,1.5394886266266383,1.2991326895233026,SYN070
REM,1.0935773437581715,1.828860127192129,SYN071
REM,1.2666579663163187,1.5789582138076144,SYN072
REM,1.9007123388377956,1.05223707929571,SYN073
REM,1.9618928969702825,1.0194236408565247,SYN074
REM,1.545212071297597,1.2943207195634276,SYN075
REM,1.7268425318722687,1.1581831945218364,SYN076
REM,1.668475033999578,1.1986993867122533,SYN077
REM,2.2773537778601525,0.8782122564546121,SYN078
REM,1.846306480515607,1.0832437740463716,SYN079
