State,Study,Conscious,Simulated_Slope
N3 (deep NREM),Sleep-Scalp,False,-3.6897317049724165
N3 (deep NREM),Sleep-Scalp,False,-3.5854035288888473
N3 (deep NREM),Sleep-Scalp,False,-2.9745165114967467
N3 (deep NREM),Sleep-Scalp,False,-3.261696306318288
N3 (deep NREM),Sleep-Scalp,False,-4.109609974201515
N3 (deep NREM),Sleep-Scalp,False,-3.2695587185227497
N3 (deep NREM),Sleep-Scalp,False,-3.5549926280694732
N3 (deep NREM),Sleep-Scalp,False,-3.672455849466866
N3 (deep NREM),Sleep-Scalp,False,-3.153805042826864
N3 (deep NREM),Sleep-Scalp,False,-2.9850306969272613
N3 (deep NREM),Sleep-Scalp,False,-3.0251669825611742
N3 (deep NREM),Sleep-Scalp,False,-3.7377785373702688
N3 (deep NREM),Sleep-Scalp,False,-3.5244555805397555
REM Sleep,Sleep-Scalp,True,-3.733338081611845
REM Sleep,Sleep-Scalp,True,-3.2147013210288633
REM Sleep,Sleep-Scalp,True,-4.385727820799939
REM Sleep,Sleep-Scalp,True,-4.149452593283203
REM Sleep,Sleep-Scalp,True,-4.890582474794659
REM Sleep,Sleep-Scalp,True,-4.96292775756877
REM Sleep,Sleep-Scalp,True,-3.345929329954955
REM Sleep,Sleep-Scalp,True,-2.9082478368313778
REM Sleep,Sleep-Scalp,True,-4.0579670296917945
REM Sleep,Sleep-Scalp,True,-3.1921716001561884
REM Sleep,Sleep-Scalp,True,-3.7088886153570426
REM Sleep,Sleep-Scalp,True,-4.519311384973014
REM Sleep,Sleep-Scalp,True,-3.709082149352856
REM Sleep,Sleep-Scalp,True,-2.761904446780619
REM Sleep,Sleep-Scalp,True,-4.028839405173191
REM Sleep,Sleep-Scalp,True,-2.7404861530129954
REM Sleep,Sleep-Scalp,True,-6.108854129128095
REM Sleep,Sleep-Scalp,True,-3.3383812465622853
REM Sleep,Sleep-Scalp,True,-3.929928461743859
REM Sleep,Sleep-Scalp,True,-4.240696274108962
Xenon - Wake,Colombo-Xenon,True,-1.6987041664996123
Xenon - Wake,Colombo-Xenon,True,-2.8610848007532677
Xenon - Wake,Colombo-Xenon,True,-1.8728003184875965
Xenon - Wake,Colombo-Xenon,True,-1.5503680036199952
Xenon - Wake,Colombo-Xenon,True,-0.9238321131039635
Xenon - Anesthesia,Colombo-Xenon,False,-3.2476662316320586
Xenon - Anesthesia,Colombo-Xenon,False,-3.4423539966328662
Xenon - Anesthesia,Colombo-Xenon,False,-3.2365888572933046
Xenon - Anesthesia,Colombo-Xenon,False,-2.2859295914212696
Xenon - Anesthesia,Colombo-Xenon,False,-2.6794670513367373
Propofol - Wake,Colombo-Propofol,True,-2.036915965479448
Propofol - Wake,Colombo-Propofol,True,-1.5704598257843418
Propofol - Wake,Colombo-Propofol,True,-1.7565856001137383
Propofol - Wake,Colombo-Propofol,True,-1.3668087910207638
Propofol - Wake,Colombo-Propofol,True,-2.1139676883447605
Propofol - Anesthesia,Colombo-Propofol,False,-3.2331687083615277
Propofol - Anesthesia,Colombo-Propofol,False,-3.2691951212338504
Propofol - Anesthesia,Colombo-Propofol,False,-3.8681297275276236
Propofol - Anesthesia,Colombo-Propofol,False,-2.884463732741884
Propofol - Anesthesia,Colombo-Propofol,False,-2.9040656663802644
Ketamine - Wake,Colombo-Ketamine,True,-1.8474845119364411
Ketamine - Wake,Colombo-Ketamine,True,-1.9654016109122006
Ketamine - Wake,Colombo-Ketamine,True,-2.5462703423695903
Ketamine - Wake,Colombo-Ketamine,True,-2.05693013794655
Ketamine - Wake,Colombo-Ketamine,True,-2.018593250282563
Ketamine - Anesthesia,Colombo-Ketamine,True,-2.452305023019083
Ketamine - Anesthesia,Colombo-Ketamine,True,-2.0509808282236954
Ketamine - Anesthesia,Colombo-Ketamine,True,-1.6970241489827842
Ketamine - Anesthesia,Colombo-Ketamine,True,-0.7690608298736341
Ketamine - Anesthesia,Colombo-Ketamine,True,-1.8406970000805365
Wake (NSRR),Purcell-NSRR,True,-1.5783730261676818
Wake (NSRR),Purcell-NSRR,True,-2.250778252156032
Wake (NSRR),Purcell-NSRR,True,-5.986163091052662
Wake (NSRR),Purcell-NSRR,True,-2.1536995986545775
Wake (NSRR),Purcell-NSRR,True,-1.9780133780552411
Wake (NSRR),Purcell-NSRR,True,2.8889014935920954
Wake (NSRR),Purcell-NSRR,True,-2.489596255942986
Wake (NSRR),Purcell-NSRR,True,-1.4892642631710153
Wake (NSRR),Purcell-NSRR,True,-2.1703031175254592
Wake (NSRR),Purcell-NSRR,True,-4.466969766331969
Wake (NSRR),Purcell-NSRR,True,0.21460416227321444
Wake (NSRR),Purcell-NSRR,True,-0.5770803442998178
Wake (NSRR),Purcell-NSRR,True,-0.4978917695181726
Wake (NSRR),Purcell-NSRR,True,-3.9418183127365998
Wake (NSRR),Purcell-NSRR,True,0.7411346970560548
Wake (NSRR),Purcell-NSRR,True,-4.939224299353096
Wake (NSRR),Purcell-NSRR,True,-0.9114151601478948
Wake (NSRR),Purcell-NSRR,True,2.3364162531408037
Wake (NSRR),Purcell-NSRR,True,-4.106172323400157
Wake (NSRR),Purcell-NSRR,True,-3.2469451479061453
Wake (NSRR),Purcell-NSRR,True,-1.8981721562795855
Wake (NSRR),Purcell-NSRR,True,-3.1197091183510564
Wake (NSRR),Purcell-NSRR,True,-5.240619863590727
Wake (NSRR),Purcell-NSRR,True,-1.9611367004156195
Wake (NSRR),Purcell-NSRR,True,-4.251525648735129
Wake (NSRR),Purcell-NSRR,True,-1.1408145538864964
Wake (NSRR),Purcell-NSRR,True,-3.9621461983636777
Wake (NSRR),Purcell-NSRR,True,1.0391433383542266
Wake (NSRR),Purcell-NSRR,True,-3.6863538140205945
Wake (NSRR),Purcell-NSRR,True,-2.7522839030248303
Wake (NSRR),Purcell-NSRR,True,-0.4523514638585191
Wake (NSRR),Purcell-NSRR,True,-4.592918091787152
Wake (NSRR),Purcell-NSRR,True,-1.6393164148472716
Wake (NSRR),Purcell-NSRR,True,0.5474078232602664
Wake (NSRR),Purcell-NSRR,True,-5.355699254725479
Wake (NSRR),Purcell-NSRR,True,-1.7260537573912615
Wake (NSRR),Purcell-NSRR,True,-1.5736491172291973
Wake (NSRR),Purcell-NSRR,True,-0.5165432732071384
Wake (NSRR),Purcell-NSRR,True,-4.605245106731801
Wake (NSRR),Purcell-NSRR,True,-4.774372907092403
Wake (NSRR),Purcell-NSRR,True,-1.0428911420945466
Wake (NSRR),Purcell-NSRR,True,-1.4985052170238695
Wake (NSRR),Purcell-NSRR,True,-1.5926669413085761
Wake (NSRR),Purcell-NSRR,True,-1.3983247643213175
Wake (NSRR),Purcell-NSRR,True,-3.477280914436602
Wake (NSRR),Purcell-NSRR,True,-1.6296074182940319
Wake (NSRR),Purcell-NSRR,True,-1.506428749995945
Wake (NSRR),Purcell-NSRR,True,-3.546804127892104
Wake (NSRR),Purcell-NSRR,True,1.678826773940087
Wake (NSRR),Purcell-NSRR,True,-1.1403274794352791
Wake (NSRR),Purcell-NSRR,True,-4.512794002827151
Wake (NSRR),Purcell-NSRR,True,-0.7702560571961807
Wake (NSRR),Purcell-NSRR,True,-4.074061264918784
Wake (NSRR),Purcell-NSRR,True,-0.5058864797369702
Wake (NSRR),Purcell-NSRR,True,0.24654936487237578
Wake (NSRR),Purcell-NSRR,True,-3.7621602980222386
Wake (NSRR),Purcell-NSRR,True,-0.14883629355103523
Wake (NSRR),Purcell-NSRR,True,-1.2639784930267886
Wake (NSRR),Purcell-NSRR,True,-0.43504910490459703
Wake (NSRR),Purcell-NSRR,True,1.741649708826099
Wake (NSRR),Purcell-NSRR,True,-2.596994238703275
Wake (NSRR),Purcell-NSRR,True,-3.6265716094564047
Wake (NSRR),Purcell-NSRR,True,-3.901568690319719
Wake (NSRR),Purcell-NSRR,True,-3.7522927764682654
Wake (NSRR),Purcell-NSRR,True,-2.2561571358758696
Wake (NSRR),Purcell-NSRR,True,-1.4090514375026486
Wake (NSRR),Purcell-NSRR,True,-1.5396072009957695
Wake (NSRR),Purcell-NSRR,True,-0.42467311042091804
Wake (NSRR),Purcell-NSRR,True,-2.0736667550946635
Wake (NSRR),Purcell-NSRR,True,0.8438999486740313
Wake (NSRR),Purcell-NSRR,True,-2.6360199324044644
Wake (NSRR),Purcell-NSRR,True,3.4092659991631975
Wake (NSRR),Purcell-NSRR,True,-0.8328112206528826
Wake (NSRR),Purcell-NSRR,True,-3.836035037633552
Wake (NSRR),Purcell-NSRR,True,-4.26892085271442
Wake (NSRR),Purcell-NSRR,True,-1.1228295704983848
Wake (NSRR),Purcell-NSRR,True,-2.552588000921102
Wake (NSRR),Purcell-NSRR,True,-0.6539066122056609
Wake (NSRR),Purcell-NSRR,True,-1.1415331566100626
Wake (NSRR),Purcell-NSRR,True,-2.247503271923186
Wake (NSRR),Purcell-NSRR,True,-3.8150447466869153
Wake (NSRR),Purcell-NSRR,True,-5.1680798868667015
Wake (NSRR),Purcell-NSRR,True,-3.0043443598123654
Wake (NSRR),Purcell-NSRR,True,-0.36550171318721225
Wake (NSRR),Purcell-NSRR,True,-1.6663874880808014
Wake (NSRR),Purcell-NSRR,True,-4.623043927448668
Wake (NSRR),Purcell-NSRR,True,-1.7492498340859766
Wake (NSRR),Purcell-NSRR,True,-1.3196014993846168
Wake (NSRR),Purcell-NSRR,True,-3.8901113582121143
Wake (NSRR),Purcell-NSRR,True,-1.788654474212255
Wake (NSRR),Purcell-NSRR,True,-1.982107584583988
Wake (NSRR),Purcell-NSRR,True,-4.414902866054609
Wake (NSRR),Purcell-NSRR,True,-1.3753591344583729
Wake (NSRR),Purcell-NSRR,True,-0.9642209602534424
Wake (NSRR),Purcell-NSRR,True,0.0935464391936387
Wake (NSRR),Purcell-NSRR,True,0.034306897685741244
Wake (NSRR),Purcell-NSRR,True,-4.890248158165274
Wake (NSRR),Purcell-NSRR,True,-3.999414076531858
Wake (NSRR),Purcell-NSRR,True,-1.0568787409056466
Wake (NSRR),Purcell-NSRR,True,-1.0594090305210042
Wake (NSRR),Purcell-NSRR,True,-1.0568535880174288
Wake (NSRR),Purcell-NSRR,True,5.703089185067451
Wake (NSRR),Purcell-NSRR,True,-0.9437529112389647
Wake (NSRR),Purcell-NSRR,True,0.19990592059703394
Wake (NSRR),Purcell-NSRR,True,-0.16782256658533812
Wake (NSRR),Purcell-NSRR,True,-0.7807115832907263
Wake (NSRR),Purcell-NSRR,True,-2.738527247280191
Wake (NSRR),Purcell-NSRR,True,-0.5628296753626942
Wake (NSRR),Purcell-NSRR,True,-3.6652334163782507
Wake (NSRR),Purcell-NSRR,True,-2.5796380732885376
Wake (NSRR),Purcell-NSRR,True,-3.0830259544631904
Wake (NSRR),Purcell-NSRR,True,-1.9341770732967558
Wake (NSRR),Purcell-NSRR,True,2.5879693725202926
Wake (NSRR),Purcell-NSRR,True,-5.8818459099233795
Wake (NSRR),Purcell-NSRR,True,-0.7100901444487393
Wake (NSRR),Purcell-NSRR,True,-5.366297120261576
Wake (NSRR),Purcell-NSRR,True,-3.0558222385761007
Wake (NSRR),Purcell-NSRR,True,0.10549463332177744
Wake (NSRR),Purcell-NSRR,True,-1.9698111396975404
Wake (NSRR),Purcell-NSRR,True,-4.28279904564384
Wake (NSRR),Purcell-NSRR,True,-3.548732840921799
Wake (NSRR),Purcell-NSRR,True,-0.723583850114822
Wake (NSRR),Purcell-NSRR,True,-3.579240372424096
Wake (NSRR),Purcell-NSRR,True,-1.6615978732286296
Wake (NSRR),Purcell-NSRR,True,-2.0077015535705955
Wake (NSRR),Purcell-NSRR,True,-3.4197119077003473
Wake (NSRR),Purcell-NSRR,True,2.2422146021291494
Wake (NSRR),Purcell-NSRR,True,-0.8160987784234066
Wake (NSRR),Purcell-NSRR,True,-6.201601228764089
Wake (NSRR),Purcell-NSRR,True,-1.722366715506759
Wake (NSRR),Purcell-NSRR,True,-3.4403422529143555
Wake (NSRR),Purcell-NSRR,True,-0.37353311491503827
Wake (NSRR),Purcell-NSRR,True,-3.7051235384573786
Wake (NSRR),Purcell-NSRR,True,-2.3323802444357056
Wake (NSRR),Purcell-NSRR,True,-1.0772293281358636
Wake (NSRR),Purcell-NSRR,True,-0.346551827208486
Wake (NSRR),Purcell-NSRR,True,-4.5310076981722425
Wake (NSRR),Purcell-NSRR,True,-2.7774785582938826
Wake (NSRR),Purcell-NSRR,True,-3.06192548845099
Wake (NSRR),Purcell-NSRR,True,-3.4232134866782564
Wake (NSRR),Purcell-NSRR,True,1.475644168944629
Wake (NSRR),Purcell-NSRR,True,-1.2797745530372984
Wake (NSRR),Purcell-NSRR,True,-4.653718049535007
Wake (NSRR),Purcell-NSRR,True,-0.24101796353553762
Wake (NSRR),Purcell-NSRR,True,2.198086723692001
Wake (NSRR),Purcell-NSRR,True,-0.008907348434131546
Wake (NSRR),Purcell-NSRR,True,-5.177239973304584
Wake (NSRR),Purcell-NSRR,True,-3.0807383842318323
Wake (NSRR),Purcell-NSRR,True,0.46592516520780114
Wake (NSRR),Purcell-NSRR,True,-3.53327090589279
Wake (NSRR),Purcell-NSRR,True,-1.2011149911975472
Wake (NSRR),Purcell-NSRR,True,-0.5311030708054274
Wake (NSRR),Purcell-NSRR,True,-3.977348877186163
Wake (NSRR),Purcell-NSRR,True,-2.22055905355714
Wake (NSRR),Purcell-NSRR,True,-8.66466670167749
Wake (NSRR),Purcell-NSRR,True,-4.174732730480001
Wake (NSRR),Purcell-NSRR,True,-2.611536247830636
Wake (NSRR),Purcell-NSRR,True,-4.6271845380650625
Wake (NSRR),Purcell-NSRR,True,1.2061870577246405
Wake (NSRR),Purcell-NSRR,True,-4.996521791500623
Wake (NSRR),Purcell-NSRR,True,-2.9912394708592265
Wake (NSRR),Purcell-NSRR,True,-1.8352059474829354
Wake (NSRR),Purcell-NSRR,True,0.8190676905249958
Wake (NSRR),Purcell-NSRR,True,-5.008108299343739
Wake (NSRR),Purcell-NSRR,True,0.25580146628916767
Wake (NSRR),Purcell-NSRR,True,-2.079274577539141
Wake (NSRR),Purcell-NSRR,True,-4.087888218688424
Wake (NSRR),Purcell-NSRR,True,-1.1640835907842986
Wake (NSRR),Purcell-NSRR,True,-1.6968365401326726
Wake (NSRR),Purcell-NSRR,True,-3.3156429365018747
Wake (NSRR),Purcell-NSRR,True,-1.9586270816427398
Wake (NSRR),Purcell-NSRR,True,-2.8803908390253543
Wake (NSRR),Purcell-NSRR,True,-1.870088839256988
Wake (NSRR),Purcell-NSRR,True,-0.75896060548497
Wake (NSRR),Purcell-NSRR,True,1.1122224700626098
Wake (NSRR),Purcell-NSRR,True,-4.606996595904294
Wake (NSRR),Purcell-NSRR,True,2.2201167009797955
Wake (NSRR),Purcell-NSRR,True,-6.053640484343129
Wake (NSRR),Purcell-NSRR,True,-2.4074163451046324
Wake (NSRR),Purcell-NSRR,True,-0.9084579362864538
Wake (NSRR),Purcell-NSRR,True,-1.5308960773587332
Wake (NSRR),Purcell-NSRR,True,-3.3611779202482266
Wake (NSRR),Purcell-NSRR,True,-2.5215182098399436
Wake (NSRR),Purcell-NSRR,True,-3.098494255516039
Wake (NSRR),Purcell-NSRR,True,-3.2936637090143464
Wake (NSRR),Purcell-NSRR,True,-0.379267332551954
Wake (NSRR),Purcell-NSRR,True,-1.3769224421185793
Wake (NSRR),Purcell-NSRR,True,-3.5033771577704877
Wake (NSRR),Purcell-NSRR,True,-0.278004858135513
Wake (NSRR),Purcell-NSRR,True,-1.4776141488850056
Wake (NSRR),Purcell-NSRR,True,-0.45367826077455997
Wake (NSRR),Purcell-NSRR,True,-0.8247878501427115
Wake (NSRR),Purcell-NSRR,True,-3.7789963224511194
Wake (NSRR),Purcell-NSRR,True,-3.2345567753796387
Wake (NSRR),Purcell-NSRR,True,-0.5864767600982088
Wake (NSRR),Purcell-NSRR,True,-0.8637930053928444
Wake (NSRR),Purcell-NSRR,True,-2.142332823402806
Wake (NSRR),Purcell-NSRR,True,-1.8623722187674594
Wake (NSRR),Purcell-NSRR,True,0.48770515273379855
Wake (NSRR),Purcell-NSRR,True,-3.2981328876972307
Wake (NSRR),Purcell-NSRR,True,-0.9919420757605979
Wake (NSRR),Purcell-NSRR,True,-2.5095087610787292
Wake (NSRR),Purcell-NSRR,True,-2.540878334453082
Wake (NSRR),Purcell-NSRR,True,0.1253961355315445
Wake (NSRR),Purcell-NSRR,True,-0.4282516828413008
Wake (NSRR),Purcell-NSRR,True,-0.4523668187045131
Wake (NSRR),Purcell-NSRR,True,0.544037765452893
Wake (NSRR),Purcell-NSRR,True,-2.057460090357452
Wake (NSRR),Purcell-NSRR,True,-0.7188137252897282
Wake (NSRR),Purcell-NSRR,True,-2.7283955107520166
Wake (NSRR),Purcell-NSRR,True,-1.4434530889575514
Wake (NSRR),Purcell-NSRR,True,-2.3635838657615746
Wake (NSRR),Purcell-NSRR,True,-1.9035502429209672
Wake (NSRR),Purcell-NSRR,True,-0.8946049809418468
Wake (NSRR),Purcell-NSRR,True,-3.7571746512375364
Wake (NSRR),Purcell-NSRR,True,2.137794552119019
Wake (NSRR),Purcell-NSRR,True,-4.137526718021086
Wake (NSRR),Purcell-NSRR,True,-4.559144130873744
Wake (NSRR),Purcell-NSRR,True,0.2455676716733004
Wake (NSRR),Purcell-NSRR,True,-0.496614292880873
Wake (NSRR),Purcell-NSRR,True,-0.8359454956985999
Wake (NSRR),Purcell-NSRR,True,-0.8273870344407013
Wake (NSRR),Purcell-NSRR,True,-2.124803872521492
Wake (NSRR),Purcell-NSRR,True,-3.9172447001246375
Wake (NSRR),Purcell-NSRR,True,-1.9464700356993312
Wake (NSRR),Purcell-NSRR,True,-3.471482347124063
Wake (NSRR),Purcell-NSRR,True,-0.12505150840790358
Wake (NSRR),Purcell-NSRR,True,-2.3978411202460084
Wake (NSRR),Purcell-NSRR,True,-3.771912061408803
Wake (NSRR),Purcell-NSRR,True,-2.750915432679194
Wake (NSRR),Purcell-NSRR,True,-1.2636736240643809
Wake (NSRR),Purcell-NSRR,True,-3.241733591352395
Wake (NSRR),Purcell-NSRR,True,-3.7652754265249904
Wake (NSRR),Purcell-NSRR,True,-1.6064506703505963
Wake (NSRR),Purcell-NSRR,True,-1.6038595328124727
Wake (NSRR),Purcell-NSRR,True,-3.1267320260384905
Wake (NSRR),Purcell-NSRR,True,-3.0540124758858345
Wake (NSRR),Purcell-NSRR,True,-1.6300201010677635
Wake (NSRR),Purcell-NSRR,True,-5.032862383898725
Wake (NSRR),Purcell-NSRR,True,-4.950591945701769
Wake (NSRR),Purcell-NSRR,True,-3.5550934438403887
Wake (NSRR),Purcell-NSRR,True,-2.5323029427683084
Wake (NSRR),Purcell-NSRR,True,-1.4703066334733945
Wake (NSRR),Purcell-NSRR,True,0.8880971898835099
Wake (NSRR),Purcell-NSRR,True,-0.362948106684845
Wake (NSRR),Purcell-NSRR,True,-2.423929818742993
Wake (NSRR),Purcell-NSRR,True,-2.1385142765817946
Wake (NSRR),Purcell-NSRR,True,-4.13046229977175
Wake (NSRR),Purcell-NSRR,True,-2.1374953851817358
Wake (NSRR),Purcell-NSRR,True,-2.6846317369890866
Wake (NSRR),Purcell-NSRR,True,-1.4463853595551897
Wake (NSRR),Purcell-NSRR,True,-3.7754234871658134
Wake (NSRR),Purcell-NSRR,True,-1.0481470020925077
Wake (NSRR),Purcell-NSRR,True,1.004316629537553
Wake (NSRR),Purcell-NSRR,True,-2.320276222272063
Wake (NSRR),Purcell-NSRR,True,-1.2863973905712311
Wake (NSRR),Purcell-NSRR,True,-0.7022241282781143
Wake (NSRR),Purcell-NSRR,True,-2.91260766097873
Wake (NSRR),Purcell-NSRR,True,-1.6461366499297272
Wake (NSRR),Purcell-NSRR,True,-2.074496113577393
Wake (NSRR),Purcell-NSRR,True,-1.90217274157965
Wake (NSRR),Purcell-NSRR,True,-3.6656072319041586
Wake (NSRR),Purcell-NSRR,True,-2.050358576467634
Wake (NSRR),Purcell-NSRR,True,-1.0913844009048557
Wake (NSRR),Purcell-NSRR,True,0.8390584367043421
Wake (NSRR),Purcell-NSRR,True,-0.15715092610718795
Wake (NSRR),Purcell-NSRR,True,2.26092543392641
Wake (NSRR),Purcell-NSRR,True,-3.65413931224729
Wake (NSRR),Purcell-NSRR,True,-0.3332545772221589
Wake (NSRR),Purcell-NSRR,True,-1.728670197854253
Wake (NSRR),Purcell-NSRR,True,2.335094329066792
Wake (NSRR),Purcell-NSRR,True,-3.737078427100955
Wake (NSRR),Purcell-NSRR,True,-3.800721797270184
Wake (NSRR),Purcell-NSRR,True,-3.3139735874711596
Wake (NSRR),Purcell-NSRR,True,-6.401609856999535
Wake (NSRR),Purcell-NSRR,True,-3.1648324010181366
Wake (NSRR),Purcell-NSRR,True,-3.637501348269276
Wake (NSRR),Purcell-NSRR,True,-1.7954015270463575
Wake (NSRR),Purcell-NSRR,True,-1.4078281305127374
Wake (NSRR),Purcell-NSRR,True,1.699882867605846
Wake (NSRR),Purcell-NSRR,True,-0.17506907995823684
Wake (NSRR),Purcell-NSRR,True,-3.2684257486524664
Wake (NSRR),Purcell-NSRR,True,-3.919594701242202
Wake (NSRR),Purcell-NSRR,True,-1.1036966821019094
Wake (NSRR),Purcell-NSRR,True,-4.7739204339721635
Wake (NSRR),Purcell-NSRR,True,1.609325740296144
Wake (NSRR),Purcell-NSRR,True,0.288766638100427
Wake (NSRR),Purcell-NSRR,True,-3.050239970191395
Wake (NSRR),Purcell-NSRR,True,-5.5696789924083125
Wake (NSRR),Purcell-NSRR,True,0.6420511671879963
Wake (NSRR),Purcell-NSRR,True,-2.3319820703617524
Wake (NSRR),Purcell-NSRR,True,0.4069982428022292
Wake (NSRR),Purcell-NSRR,True,-5.329257281720528
Wake (NSRR),Purcell-NSRR,True,-3.313937895945962
Wake (NSRR),Purcell-NSRR,True,-2.089379727951469
Wake (NSRR),Purcell-NSRR,True,-2.004848348761671
Wake (NSRR),Purcell-NSRR,True,-3.0115353669443414
Wake (NSRR),Purcell-NSRR,True,-0.8385174433230898
Wake (NSRR),Purcell-NSRR,True,-4.262293802846015
Wake (NSRR),Purcell-NSRR,True,-2.3883667918306783
Wake (NSRR),Purcell-NSRR,True,-1.8563605080969556
Wake (NSRR),Purcell-NSRR,True,-1.05808672050998
Wake (NSRR),Purcell-NSRR,True,-0.6587382944756204
Wake (NSRR),Purcell-NSRR,True,-4.37778202690175
Wake (NSRR),Purcell-NSRR,True,-5.207101993316324
Wake (NSRR),Purcell-NSRR,True,0.48772930715536766
Wake (NSRR),Purcell-NSRR,True,-1.4269513125391287
Wake (NSRR),Purcell-NSRR,True,-3.615939331027847
Wake (NSRR),Purcell-NSRR,True,1.041609331964874
Wake (NSRR),Purcell-NSRR,True,-1.8657195965961673
Wake (NSRR),Purcell-NSRR,True,0.28847714284525905
Wake (NSRR),Purcell-NSRR,True,-1.963252154124588
Wake (NSRR),Purcell-NSRR,True,2.0737141258873995
Wake (NSRR),Purcell-NSRR,True,1.4551611050496849
Wake (NSRR),Purcell-NSRR,True,-2.604236918450928
Wake (NSRR),Purcell-NSRR,True,-0.1322389976288496
Wake (NSRR),Purcell-NSRR,True,-0.7928946113359403
Wake (NSRR),Purcell-NSRR,True,0.6719435239199192
Wake (NSRR),Purcell-NSRR,True,-4.054297577688435
Wake (NSRR),Purcell-NSRR,True,-0.7105128943196011
Wake (NSRR),Purcell-NSRR,True,0.04366889739909707
Wake (NSRR),Purcell-NSRR,True,-5.662044512872903
Wake (NSRR),Purcell-NSRR,True,-4.496500178046997
Wake (NSRR),Purcell-NSRR,True,-6.230137433848862
Wake (NSRR),Purcell-NSRR,True,-2.6456402973673994
Wake (NSRR),Purcell-NSRR,True,-0.6467333424061452
Wake (NSRR),Purcell-NSRR,True,0.9427830472370036
Wake (NSRR),Purcell-NSRR,True,-1.9499329161230379
Wake (NSRR),Purcell-NSRR,True,1.1984993584695616
Wake (NSRR),Purcell-NSRR,True,-4.89517396657777
Wake (NSRR),Purcell-NSRR,True,-5.549927700076312
Wake (NSRR),Purcell-NSRR,True,-2.2125029474716733
Wake (NSRR),Purcell-NSRR,True,-1.3221370842360205
Wake (NSRR),Purcell-NSRR,True,-2.166217964028988
Wake (NSRR),Purcell-NSRR,True,-6.287272103105428
Wake (NSRR),Purcell-NSRR,True,-2.280498334280972
Wake (NSRR),Purcell-NSRR,True,-4.741993576850588
Wake (NSRR),Purcell-NSRR,True,-0.7436857497109874
Wake (NSRR),Purcell-NSRR,True,-1.357514099718148
Wake (NSRR),Purcell-NSRR,True,-4.003575635557251
Wake (NSRR),Purcell-NSRR,True,-3.1407549539748745
Wake (NSRR),Purcell-NSRR,True,-4.245266961213623
Wake (NSRR),Purcell-NSRR,True,-2.226946450135035
Wake (NSRR),Purcell-NSRR,True,-0.1655125514503757
Wake (NSRR),Purcell-NSRR,True,-4.096429875857524
Wake (NSRR),Purcell-NSRR,True,-1.0791346935158872
